,Gene,Tissue,Condition,Average_Spearman,Degree,WeightedDegree
6160,FBgn0041186,head,ctrl,0.14336161920620305,791,0.14336161920620305
6161,FBgn0004924,head,ctrl,0.17679230247835073,2259,0.17679230247835073
6162,FBgn0003429,head,ctrl,0.27189052086328824,4051,0.27189052086328824
6163,FBgn0027603,head,ctrl,0.19711785322427244,2900,0.19711785322427244
6164,FBgn0015039,head,ctrl,0.19626908452341646,2265,0.19626908452341646
6165,FBgn0033209,head,ctrl,0.17346418420818846,2018,0.17346418420818846
6166,FBgn0058191,head,ctrl,0.17304647729738196,2000,0.17304647729738196
6167,FBgn0019925,head,ctrl,0.20728074908184732,2686,0.20728074908184732
6168,FBgn0030266,head,ctrl,0.14530104021883175,452,0.14530104021883175
6169,FBgn0053207,head,ctrl,0.16512724001693924,898,0.16512724001693924
6170,FBgn0034430,head,ctrl,0.15540955399908493,1164,0.15540955399908493
6171,FBgn0038462,head,ctrl,0.1330795017772826,180,0.1330795017772826
6172,FBgn0031488,head,ctrl,0.13519450285635404,130,0.13519450285635404
6173,FBgn0041205,head,ctrl,0.14439237147259845,550,0.14439237147259845
6174,FBgn0000017,head,ctrl,0.21533151853425148,2958,0.21533151853425148
6175,FBgn0028962,head,ctrl,0.1376073251813143,318,0.1376073251813143
6176,FBgn0263240,head,ctrl,0.13332751055451958,264,0.13332751055451958
6177,FBgn0024689,head,ctrl,0.13501331633615704,344,0.13501331633615704
6178,FBgn0085430,head,ctrl,0.2540652993479583,3770,0.2540652993479583
6179,FBgn0004465,head,ctrl,0.12922898182889228,61,0.12922898182889228
6180,FBgn0036299,head,ctrl,0.12691977079915454,56,0.12691977079915454
6181,FBgn0036248,head,ctrl,0.1435638844321813,673,0.1435638844321813
6182,FBgn0001230,head,ctrl,0.13970556211921756,28,0.13970556211921756
6183,FBgn0051475,head,ctrl,0.14213312199748726,489,0.14213312199748726
6184,FBgn0038617,head,ctrl,0.14058260381521515,350,0.14058260381521515
6185,FBgn0001978,head,ctrl,0.1397936872498514,369,0.1397936872498514
6186,FBgn0031078,head,ctrl,0.1472300231788516,744,0.1472300231788516
6187,FBgn0029831,head,ctrl,0.15633939997215632,224,0.15633939997215632
6188,FBgn0037815,head,ctrl,0.13843790401946332,701,0.13843790401946332
6189,FBgn0036448,head,ctrl,0.17255509119316859,2056,0.17255509119316859
6190,FBgn0085447,head,ctrl,0.1528404311521662,387,0.1528404311521662
6191,FBgn0035405,head,ctrl,0.1366956070910091,287,0.1366956070910091
6192,FBgn0031940,head,ctrl,0.18420998904331756,819,0.18420998904331756
6193,FBgn0014396,head,ctrl,0.14914013209701127,611,0.14914013209701127
6194,FBgn0051800,head,ctrl,0.14293195263437586,510,0.14293195263437586
