tissue,Geneid,logFC,AveExpr,t,P.Value,adj.P.Val,B,HSvsC,SYMBOL
body,FBgn0037021,0.10102491858858542,5.059588842900635,0.9914434074283485,0.32162706781996164,0.40140816055875267,-6.786125795115594,0,Pcif1
body,FBgn0039349,-0.0935292473690632,4.763771043523601,-0.9095650155579752,0.36319629972165157,0.4443455332443594,-6.786700575914756,-0,Ssadh
body,FBgn0020386,-0.09079106855589814,5.841733138240428,-1.1694284635238443,0.2424145761701154,0.31692211787170554,-6.787031819883836,-0,Pdk1
body,FBgn0050394,-0.07170605825383003,3.8433163730545425,-0.5262370442564448,0.5988003671944528,0.6705911469125889,-6.7892252384921195,-0,CG30394
body,FBgn0022699,-0.008741390685476524,3.2402136799789742,-0.052769955726229736,0.957922140989826,0.9692715801121858,-6.789348747272901,-0,D19B
body,FBgn0039450,-0.08473080473084238,6.002419270114611,-1.2013563450219922,0.22980034345835318,0.30277841285957335,-6.789588771373183,-0,NA
body,FBgn0034452,0.05089536463464173,3.4538483449824446,0.3320270425708112,0.7399146619913035,0.796216464941059,-6.790506569874724,0,Oseg6
body,FBgn0004403,0.07596242520021868,11.108724612802549,1.6797562455100383,0.09321045495404037,0.13984758197074368,-6.793385296384954,0,RpS14a
body,FBgn0266101,-0.09495143555487484,5.848574633971526,-1.166608802620633,0.24355156594906233,0.3181188633930148,-6.794739145011558,-0,CG44838
body,FBgn0261274,0.09383570318012957,5.149791324713665,0.9920905582224823,0.3213114102732599,0.40109032535249756,-6.795119625329575,0,Ero1L
body,FBgn0036826,0.09428689572245119,4.347021038775796,0.7322599642800133,0.4641229138480242,0.5444295899865513,-6.7955004051127235,0,arx
body,FBgn0015541,-0.0021098912441570583,3.455764950291717,-0.012183178216759346,0.990281071056561,0.9928183995510786,-6.7961342041838275,-0,NA
body,FBgn0037556,-0.03975294557725473,3.3587753531073377,-0.2591918072128956,0.7955223839534942,0.8414597389220166,-6.797174479879395,-0,CG9636
body,FBgn0000008,0.069200665191548,3.6043491856316274,0.45221442134419293,0.6511791106511213,0.7164386534451688,-6.797373385607427,0,a
body,FBgn0032859,0.06328344451154244,7.684232282302215,1.4389614364936807,0.15036753569921382,0.21178344715314415,-6.798479459436621,0,Arpc2
body,FBgn0032665,-0.11244698476695447,4.2177660952244835,-0.7067953980635502,0.4798020756581408,0.559925190688187,-6.798789602933933,-0,CG15152
body,FBgn0261239,0.06799793010423372,3.7121061162040947,0.4689283045338188,0.6391881976058239,0.7061998634838538,-6.799231916724933,0,Hr39
body,FBgn0026427,-0.08839262240732282,4.077404173500007,-0.6584820036678345,0.5103282807899067,0.5879583412025196,-6.802041343915347,-0,Su(var)2-HP2
body,FBgn0034999,-0.13033879482178978,5.012613940397229,-0.9553178269449161,0.33956905065866816,0.42005381435880396,-6.803135959044694,-0,Fatp3
body,FBgn0033616,-0.0815236759836031,3.786061034319127,-0.5645676126128524,0.572451283471661,0.6468109347267427,-6.803387228713548,-0,CG7745
body,FBgn0029067,0.1000812774102311,5.025343868612399,0.9458835477243945,0.3443584716828696,0.42485953279297384,-6.8044743798451135,0,Dd
body,FBgn0037936,0.1606728920084226,4.659748271985875,0.8341761182883558,0.4043129512291328,0.48455658233693777,-6.80504786731947,0,CG6908
